Matram,longitude,latitude,Z.Elev,Date,Salinity,CL,CL_ppt,Dist_to_TanChau_km,River_Dist_km,Travel_Time_Days,WaterLevel_Mean,WaterLevel_Max,WaterLevel_Min,WL_Mean_3D_Lag,WL_Mean_7D_Lag,Month_sin,Month_cos,Day_sin,Day_cos
QLPH122020,105.51,9.58,0.33,2020-05-02,5.53,3474.1,3.4741,139.81742122732834,181.76264759552686,4,-0.09,-0.09,-0.09,0.28333333333333305,0.532857142857143,0.49999999999999994,-0.8660254037844387,0.854322169749827,-0.5197438121555155
QLPH122020,105.51,9.58,0.33,2020-05-11,3.12,1878.85,1.87885,139.81742122732834,181.76264759552686,4,0.85,0.85,0.85,0.7599999999999998,0.34000000000000014,0.49999999999999994,-0.8660254037844387,0.7638886127905428,-0.6453481132295501
QLPH122020,105.51,9.58,0.33,2020-05-25,2.15,1214.0,1.214,139.81742122732834,181.76264759552686,4,0.68,0.68,0.68,0.5699999999999997,0.14714285714285727,0.49999999999999994,-0.8660254037844387,0.5877852522924732,-0.8090169943749473
QLPH122020,105.51,9.58,0.33,2020-06-09,0.55,56.0,0.056,139.81742122732834,181.76264759552686,4,0.85,0.85,0.85,0.6466666666666665,0.11571428571428584,1.2246467991473532e-16,-1.0,0.36171373072976765,-0.9322892131745133
QLPH122020,105.51,9.58,0.33,2020-06-23,0.47,333.23,0.33323,139.81742122732834,181.76264759552686,4,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.5299999999999998,0.018571428571428683,1.2246467991473532e-16,-1.0,0.12874817745258132,-0.99167731989929
QLPH122021,105.27,9.41,0.4,2015-07-13,18.7,13125.0,13.125,154.31283511318108,200.6066856471354,4,0.785,0.785,0.785,0.5349999999999999,0.25428571428571456,-0.4999999999999997,-0.8660254037844388,-0.19667288979357622,-0.9804691603616321
QLPH122022,105.27,9.41,0.4,2022-02-17,17.2,9520.91002186488,,154.31283511318108,200.6066856471354,4,0.75,0.75,0.75,0.54,0.4900000000000004,0.8660254037844386,0.5000000000000001,0.7354170229639855,0.6776147890466889
QLPH122022,105.27,9.41,0.4,2022-03-05,19.9,11015.471478785528,,154.31283511318108,200.6066856471354,4,1.21,1.21,1.21,0.7833333333333332,0.48857142857142893,1.0,6.123233995736766e-17,0.8919813464595485,0.45207220393230435
QLPH122022,105.27,9.41,0.4,2022-03-19,21.2,11735.075143228805,,154.31283511318108,200.6066856471354,4,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.25333333333333324,0.12428571428571467,1.0,6.123233995736766e-17,0.9741004551724205,0.22611568550828828
QLPH122022,105.27,9.41,0.4,2022-04-03,0.1,55.354128034098146,,154.31283511318108,200.6066856471354,4,1.09,1.09,1.09,0.35666666666666663,0.1257142857142861,0.8660254037844387,-0.4999999999999998,0.9995462806873573,-0.030120304846908114
QLPH122022,105.27,9.41,0.4,2022-04-17,14.0,7749.57792477374,,154.31283511318108,200.6066856471354,4,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.12999999999999978,0.16571428571428606,0.8660254037844387,-0.4999999999999998,0.9634705485641488,-0.2678143051621742
QLPH122022,105.27,9.41,0.4,2022-05-03,14.8,8192.410949046525,,154.31283511318108,200.6066856471354,4,1.02,1.02,1.02,0.5433333333333331,0.24142857142857177,0.49999999999999994,-0.8660254037844387,0.854322169749827,-0.5197438121555155
QLPH122022,105.27,9.41,0.4,2022-05-17,9.4,5203.288035205225,,154.31283511318108,200.6066856471354,4,0.8,0.8,0.8,0.31333333333333313,0.24000000000000035,0.49999999999999994,-0.8660254037844387,0.705583610107178,-0.7086266782644596
